Timestep	J_x	J_y	J_z	Jconv_x	Jconv_y	Jconv_z	Jcond_x	Jcond_y	Jcond_z
178	72.57409477	6.22922E-05	-1.08601E-05	13.69238257	5.45904E-05	-1.23796E-05	58.8817122	7.70182E-06	1.51951E-06
179	68.23955925	1.12605E-05	-6.78581E-06	10.33428745	1.05192E-05	-3.0956E-06	57.9052718	7.41351E-07	-3.69021E-06
180	63.84227424	-1.2135E-05	-4.35858E-05	7.151347779	-7.06743E-06	-3.87283E-05	56.69092646	-5.06759E-06	-4.85748E-06
181	59.42808014	1.97143E-05	5.30862E-05	4.161584746	2.22357E-05	4.84416E-05	55.2664954	-2.52135E-06	4.64458E-06
182	55.04642768	0.000116846	6.19955E-05	1.384220297	9.84261E-05	7.00419E-05	53.66220738	1.84202E-05	-8.04639E-06
183	50.74440532	1.19829E-05	-4.08463E-05	-1.165075963	7.66378E-06	-3.99322E-05	51.90948129	4.31909E-06	-9.14085E-07
184	46.57191382	3.49289E-05	-1.08341E-05	-3.468008345	3.62571E-05	-7.43469E-06	50.03992217	-1.32825E-06	-3.39943E-06
185	42.57420748	9.04605E-06	-9.82507E-06	-5.510793836	5.26489E-06	-3.5067E-06	48.08500132	3.78116E-06	-6.31837E-06
186	38.79685022	-7.10818E-05	3.83221E-05	-7.277897187	-6.84607E-05	3.46322E-05	46.07474741	-2.62116E-06	3.6899E-06
187	35.28017487	4.66561E-05	3.79132E-05	-8.756371457	4.25224E-05	4.56147E-05	44.03654633	4.13372E-06	-7.70146E-06
188	32.06092055	-3.32714E-06	4.93003E-05	-9.934440622	-8.20961E-06	5.35175E-05	41.99536118	4.88247E-06	-4.21721E-06
189	29.17030707	-4.24833E-05	1.44668E-05	-10.80230844	-3.46086E-05	6.42606E-06	39.97261551	-7.87475E-06	8.04072E-06
